name,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,torque_unit,torque_rpm,cars_age
Hyundai,500000,53000,Diesel,Individual,Manual,Second Owner,23.0,1396.0,90.0,5.0,219.52,1750.0,10
Maruti,150000,80000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0,62.0,3000.0,20
Hyundai,680000,100000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,219.7,1500.0,6
Mahindra,174000,100000,Diesel,Individual,Manual,Second Owner,21.0,1461.0,64.1,5.0,160.0,2000.0,11
Honda,950000,50000,Diesel,Individual,Manual,First Owner,25.5,1498.0,98.6,5.0,200.0,1750.0,5
Maruti,525000,40000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,190.0,2000.0,7
Maruti,600000,72000,Diesel,Individual,Manual,First Owner,21.5,1248.0,88.8,5.0,200.0,1750.0,10
Tata,500000,35000,Petrol,Individual,Manual,First Owner,20.3,1199.0,83.81,5.0,114.0,3500.0,4
Maruti,575000,45000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,115.0,4000.0,6
Maruti,275000,28000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5.0,69.0,3500.0,5
Chevrolet,300000,70000,Diesel,Individual,Manual,First Owner,18.2,1248.0,73.8,7.0,172.5,1750.0,9
Maruti,220000,120000,Petrol,Individual,Manual,First Owner,18.9,1061.0,67.0,5.0,84.0,3500.0,13
Maruti,254999,25000,Petrol,Individual,Manual,First Owner,16.8,796.0,34.2,8.0,59.0,2500.0,4
Maruti,670000,70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,200.0,1750.0,5
Fiat,70000,50000,Petrol,Individual,Manual,Second Owner,,,,,,,19
Maruti,150000,35000,Petrol,Individual,Manual,Second Owner,14.0,796.0,35.0,5.0,59.78,3000.0,10
Hyundai,730000,2388,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,114.7,4000.0,4
Maruti,650000,16200,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,200.0,1750.0,5
Maruti,330000,10000,CNG,Individual,Manual,Second Owner,33.44,796.0,40.3,4.0,60.0,3500.0,3
Maruti,366000,15000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.1,5.0,90.0,3500.0,3
Hyundai,1149000,5000,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0,151.0,4850.0,3
Datsun,150000,42000,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,5.0,104.0,4000.0,6
Tata,425000,60000,Diesel,Individual,Manual,Second Owner,13.93,2179.0,138.03,7.0,320.0,1700.0,11
Maruti,150000,76000,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,4.0,59.0,2500.0,10
Jeep,2100000,5000,Petrol,Individual,Automatic,First Owner,16.0,1368.0,160.77,5.0,250.0,1750.0,3
Honda,925000,28900,Petrol,Dealer,Manual,First Owner,17.8,1497.0,117.3,5.0,145.0,4600.0,4
Honda,425000,86300,Petrol,Dealer,Manual,First Owner,16.8,1497.0,116.3,5.0,146.0,4800.0,9
Maruti,675000,23300,Petrol,Dealer,Automatic,First Owner,18.5,1197.0,83.14,5.0,115.0,4000.0,4
Maruti,819999,32600,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,5.0,200.0,1750.0,4
Maruti,390000,10300,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5.0,90.0,3500.0,4
Toyota,1500000,77000,Diesel,Dealer,Manual,First Owner,12.55,2982.0,168.5,7.0,343.0,1400.0,8
Toyota,700000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.0,7.0,200.0,1400.0,9
Mercedes-Benz,1450000,27800,Diesel,Dealer,Automatic,Second Owner,14.8,2143.0,120.7,5.0,200.0,1250.0,8
Honda,425000,49800,Diesel,Dealer,Manual,First Owner,24.7,1498.0,98.63,5.0,200.0,1750.0,7
Honda,600000,54700,Diesel,Dealer,Manual,First Owner,26.0,1498.0,98.6,5.0,200.0,1750.0,7
Maruti,850000,64000,Petrol,Dealer,Manual,First Owner,20.65,1462.0,103.25,5.0,138.0,4400.0,4
Honda,525000,63000,Diesel,Dealer,Manual,First Owner,27.3,1498.0,98.6,5.0,200.0,1750.0,7
Toyota,1650000,127700,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,7.0,360.0,1200.0,6
Toyota,950000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.6,7.0,200.0,1200.0,6
Audi,1750000,33900,Diesel,Dealer,Automatic,Second Owner,17.68,1968.0,174.33,5.0,380.0,1750.0,9
Toyota,1590000,25000,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,5.0,173.0,4000.0,4
Audi,1689999,50000,Diesel,Dealer,Automatic,First Owner,18.53,1968.0,187.74,5.0,400.0,1750.0,9
Mercedes-Benz,1425000,59000,Diesel,Dealer,Automatic,First Owner,14.84,2143.0,170.0,5.0,400.0,1400.0,9
Tata,265000,120000,Diesel,Individual,Manual,First Owner,21.12,1248.0,88.8,5.0,200.0,1750.0,11
Hyundai,190000,110000,Petrol,Individual,Manual,Third Owner,20.36,1197.0,78.9,5.0,111.7,4000.0,11
Hyundai,425000,60000,Diesel,Individual,Manual,First Owner,21.27,1396.0,88.76,5.0,219.6,1500.0,9
Maruti,630000,147000,Diesel,Individual,Manual,Second Owner,26.59,1248.0,74.0,5.0,190.0,2000.0,7
Ford,600000,25000,Petrol,Individual,Manual,Third Owner,18.16,1196.0,86.8,5.0,112.0,4000.0,5
Maruti,650000,30000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,115.0,4000.0,3
Volkswagen,540000,40000,Diesel,Individual,Manual,First Owner,22.0,1498.0,108.495,5.0,250.0,1500.0,6
Honda,630000,135000,Diesel,Individual,Manual,First Owner,25.1,1498.0,98.6,5.0,200.0,1750.0,7
Maruti,448000,30000,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,5.0,90.0,3500.0,4
Volkswagen,500000,80000,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,5.0,250.0,1500.0,5
Maruti,745000,70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,200.0,1750.0,6
Maruti,1025000,9850,Diesel,Individual,Automatic,First Owner,24.3,1248.0,88.5,5.0,200.0,1750.0,3
Hyundai,235000,60000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5.0,111.7,4000.0,11
Maruti,630000,70000,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,5.0,190.0,2000.0,6
Toyota,1700000,78000,Diesel,Individual,Manual,Second Owner,12.55,2982.0,168.5,7.0,343.0,1400.0,7
Maruti,450000,120000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5.0,190.0,2000.0,9
Maruti,450000,120000,Petrol,Individual,Manual,Second Owner,16.02,1373.0,93.7,7.0,130.0,4000.0,10
Tata,50000,70000,Diesel,Individual,Manual,First Owner,,,,,,,19
Volkswagen,450000,170000,Diesel,Individual,Manual,First Owner,20.54,1598.0,103.6,5.0,250.0,1500.0,9
Toyota,1200000,140000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,8.0,200.0,1200.0,6
Ford,610000,90000,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,5.0,205.0,1750.0,7
BMW,2500000,30000,Petrol,Individual,Automatic,Second Owner,15.71,1998.0,189.0,5.0,280.0,1350.0,6
Maruti,484999,10000,Petrol,Dealer,Manual,First Owner,23.1,998.0,67.04,5.0,90.0,3500.0,5
Datsun,275000,49000,Petrol,Dealer,Manual,First Owner,19.02,1198.0,67.05,5.0,104.0,4000.0,6
Maruti,315000,32000,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5.0,69.0,3500.0,6
Maruti,275000,38000,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5.0,69.0,3500.0,6
Maruti,475000,78000,Diesel,Dealer,Manual,First Owner,,,,,,,7
Hyundai,290000,28000,Petrol,Dealer,Manual,First Owner,19.81,1086.0,68.05,5.0,99.04,4500.0,10
Maruti,280000,32000,Petrol,Dealer,Manual,First Owner,14.0,796.0,35.0,5.0,59.78,3000.0,5
Maruti,225000,44000,LPG,Dealer,Manual,First Owner,26.2,998.0,58.2,5.0,77.0,3500.0,12
Volkswagen,455000,42000,Petrol,Dealer,Manual,First Owner,16.47,1198.0,74.0,5.0,110.0,3750.0,7
Hyundai,351000,45000,Petrol,Dealer,Manual,Second Owner,19.81,1086.0,68.05,5.0,99.04,4500.0,7
Volkswagen,535000,12000,Petrol,Dealer,Manual,Second Owner,15.04,1598.0,103.6,5.0,153.0,3800.0,10
Maruti,175000,55500,Petrol,Dealer,Manual,First Owner,18.2,998.0,67.1,5.0,90.0,3500.0,13
Hyundai,525000,61500,Petrol,Dealer,Manual,First Owner,18.5,1197.0,82.85,5.0,113.7,4000.0,9
Maruti,600000,150000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,190.0,2000.0,6
Hyundai,565000,72000,Petrol,Dealer,Automatic,First Owner,19.1,1197.0,82.0,5.0,114.0,4000.0,6
Maruti,120000,68000,Petrol,Dealer,Manual,Third Owner,19.7,796.0,46.3,5.0,62.0,3000.0,14
Hyundai,725000,110000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,219.7,1500.0,5
Maruti,185000,77000,Petrol,Dealer,Manual,Second Owner,21.79,998.0,67.05,5.0,90.0,3500.0,13
Tata,200000,100000,Diesel,Individual,Manual,Second Owner,18.8,1248.0,90.0,5.0,200.0,1750.0,12
Maruti,615000,10000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,5.0,113.0,4200.0,3
Maruti,270000,100000,Petrol,Individual,Manual,Third Owner,15.37,1196.0,73.0,7.0,101.0,3000.0,6
Maruti,610000,35000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,115.0,4000.0,4
Mahindra,625000,70000,Diesel,Individual,Automatic,Second Owner,11.79,2179.0,120.0,8.0,290.0,1800.0,8
Ford,400000,5000,Petrol,Individual,Manual,Second Owner,19.0,1194.0,94.68,5.0,120.0,4250.0,2
Hyundai,866000,37800,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0,151.0,4850.0,5
Volkswagen,700000,114000,Petrol,Individual,Manual,First Owner,14.3,1798.0,160.0,5.0,250.0,1500.0,12
Tata,300000,48000,Petrol,Individual,Manual,First Owner,15.8,1172.0,65.0,5.0,96.0,3000.0,12
Mahindra,1700000,32000,Diesel,Individual,Manual,First Owner,15.1,2179.0,155.0,7.0,360.0,1750.0,3
Tata,375000,100000,Diesel,Individual,Manual,First Owner,19.09,1405.0,69.01,5.0,135.0,2500.0,6
Hyundai,522000,150000,Diesel,Individual,Manual,Second Owner,22.32,1582.0,126.32,5.0,259.8,1900.0,9
Hyundai,451999,69000,Diesel,Individual,Manual,First Owner,21.9,1396.0,88.76,5.0,219.6,1500.0,9
Toyota,300000,100000,Petrol,Individual,Manual,Second Owner,14.53,1798.0,138.1,5.0,173.0,4000.0,13
Maruti,475000,13000,Petrol,Individual,Manual,First Owner,21.63,998.0,67.04,5.0,90.0,3500.0,2
Maruti,780000,60000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,200.0,1750.0,6
Maruti,595000,40000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5.0,115.0,4000.0,5
Maruti,440000,35000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0,90.0,3500.0,5
Maruti,300000,120000,Diesel,Individual,Manual,Second Owner,,,,,,,12
Nissan,400000,70000,Diesel,Individual,Manual,Third Owner,20.45,1461.0,83.8,5.0,200.0,1900.0,8
Hyundai,1140000,50000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5.0,259.9,1900.0,6
Ford,850000,76139,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.96,5.0,205.0,1750.0,5
Maruti,370000,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248.0,73.9,5.0,190.0,2000.0,10
Renault,350000,25000,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5.0,91.0,4250.0,4
Maruti,360000,40000,Petrol,Individual,Manual,Second Owner,23.1,998.0,67.04,5.0,90.0,3500.0,7
Maruti,105000,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,46.3,5.0,62.0,3000.0,14
Maruti,625000,90000,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7.0,200.0,1750.0,9
Hyundai,135000,80000,Petrol,Individual,Manual,Second Owner,17.92,1086.0,62.1,5.0,96.1,3000.0,13
Maruti,700000,110000,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7.0,200.0,1750.0,7
Honda,690000,1303,Petrol,Dealer,Manual,First Owner,17.8,1198.0,86.7,5.0,109.0,4500.0,3
Audi,3975000,31800,Diesel,Dealer,Automatic,First Owner,17.01,1968.0,188.0,5.0,400.0,1750.0,4
Lexus,5150000,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487.0,214.56,5.0,202.0,3600.0,3
Jaguar,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999.0,177.0,5.0,430.0,1750.0,5
Jeep,4100000,17000,Petrol,Individual,Automatic,First Owner,9.5,3604.0,280.0,5.0,347.0,4300.0,5
Mercedes-Benz,6000000,37000,Diesel,Dealer,Automatic,First Owner,13.5,2987.0,254.79,5.0,620.0,1600.0,5
BMW,3790000,29500,Diesel,Dealer,Automatic,First Owner,22.48,1995.0,187.74,5.0,400.0,1750.0,4
BMW,2150000,27000,Diesel,Dealer,Automatic,First Owner,,,,,,,5
BMW,5800000,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995.0,190.0,5.0,400.0,1750.0,3
Skoda,1864999,50000,Petrol,Dealer,Automatic,First Owner,14.67,1798.0,177.46,5.0,250.0,1250.0,4
Mercedes-Benz,2700000,35000,Diesel,Dealer,Automatic,First Owner,15.0,2143.0,204.0,5.0,500.0,1600.0,6
Honda,795000,41000,Petrol,Dealer,Automatic,First Owner,18.0,1497.0,117.6,5.0,145.0,4600.0,5
Toyota,625000,39000,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,5.0,173.0,4000.0,9
Volvo,3400000,22000,Diesel,Dealer,Automatic,First Owner,18.0,1969.0,190.0,5.0,400.0,,4
Audi,2650000,53000,Diesel,Dealer,Automatic,First Owner,12.07,2967.0,241.4,7.0,550.0,1750.0,7
Maruti,535000,40000,Diesel,Dealer,Manual,First Owner,26.21,1248.0,88.5,5.0,200.0,1750.0,7
Mercedes-Benz,5850000,47000,Diesel,Dealer,Automatic,First Owner,13.5,2987.0,282.0,5.0,490.0,1600.0,5
BMW,975000,72200,Petrol,Dealer,Automatic,Second Owner,10.8,2497.0,150.0,5.0,250.0,2750.0,12
Hyundai,805000,49900,Petrol,Dealer,Manual,First Owner,16.3,1797.0,147.5,5.0,177.5,4700.0,6
Jaguar,2625000,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999.0,177.0,5.0,430.0,1750.0,5
Tata,811000,11000,Petrol,Dealer,Manual,First Owner,17.0,1198.0,108.5,5.0,170.0,1750.0,4
Volkswagen,375000,49000,Petrol,Individual,Manual,First Owner,15.04,1598.0,103.6,5.0,153.0,3800.0,11
Hyundai,550000,95000,Petrol,Individual,Manual,First Owner,16.3,1797.0,147.5,5.0,177.5,4700.0,10
Skoda,645000,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598.0,103.5,5.0,153.0,3800.0,6
Mercedes-Benz,2550000,18000,Petrol,Dealer,Automatic,First Owner,15.04,1991.0,183.0,5.0,300.0,1200.0,4
Maruti,599000,46100,Petrol,Dealer,Manual,First Owner,16.02,1373.0,93.7,7.0,130.0,4000.0,8
Mercedes-Benz,2700000,16000,Petrol,Dealer,Automatic,First Owner,14.74,1991.0,181.04,5.0,300.0,1200.0,5
Honda,875000,18000,Petrol,Dealer,Automatic,First Owner,15.6,1497.0,116.3,5.0,146.0,4800.0,5
Toyota,894999,9654,Petrol,Dealer,Automatic,First Owner,19.56,1197.0,81.8,5.0,113.0,4200.0,3
Maruti,175000,11000,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5.0,90.0,3500.0,11
Maruti,340000,24300,Petrol,Dealer,Manual,First Owner,21.21,1197.0,81.8,5.0,113.0,4200.0,10
Toyota,1525000,42163,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,7.0,360.0,1200.0,6
Tata,1025000,8000,Diesel,Dealer,Automatic,First Owner,21.5,1497.0,108.5,5.0,260.0,1500.0,4
BMW,2150000,30000,Diesel,Dealer,Automatic,First Owner,22.69,1995.0,190.0,5.0,400.0,1750.0,6
Toyota,1900000,41000,Petrol,Dealer,Automatic,First Owner,19.16,2494.0,157.7,5.0,213.0,4500.0,6
BMW,2900000,12000,Diesel,Dealer,Automatic,First Owner,18.12,1995.0,190.0,5.0,400.0,1750.0,6
Toyota,450000,71000,Petrol,Dealer,Automatic,First Owner,12.1,2362.0,164.7,5.0,224.0,4000.0,13
Maruti,850000,20000,Petrol,Individual,Manual,First Owner,17.5,1373.0,91.1,7.0,130.0,4000.0,6
Volvo,10000000,30000,Petrol,Individual,Automatic,First Owner,42.0,1969.0,400.0,4.0,640.0,1740.0,5
Volkswagen,300000,100000,Diesel,Individual,Manual,Second Owner,20.54,1598.0,103.6,5.0,250.0,1500.0,11
Ford,575000,9500,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.8,5.0,112.0,4000.0,4
Ford,160000,120000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.0,5.0,160.0,2000.0,11
Maruti,515000,36600,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5.0,113.0,4200.0,7
Maruti,390000,50000,Petrol,Individual,Automatic,Second Owner,20.51,998.0,67.0,5.0,90.0,3500.0,7
Hyundai,550000,14000,Petrol,Individual,Manual,Second Owner,18.6,1197.0,81.83,5.0,114.7,4000.0,6
Maruti,40000,40000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4.0,59.0,2500.0,23
Maruti,220000,120000,Diesel,Individual,Manual,First Owner,21.1,1248.0,73.9,5.0,113.0,4500.0,12
Hyundai,425000,70000,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5.0,114.0,4000.0,7
Volkswagen,480000,13000,Petrol,Individual,Manual,First Owner,19.44,999.0,75.0,5.0,95.0,3000.0,3
Hyundai,400000,60000,Petrol,Individual,Manual,Second Owner,18.9,1197.0,82.0,5.0,114.0,4000.0,8
Maruti,487000,35000,Petrol,Individual,Manual,First Owner,19.1,1197.0,85.8,5.0,114.0,4000.0,8
Hyundai,386000,44000,Petrol,Individual,Manual,Second Owner,19.1,1197.0,82.0,5.0,114.0,4000.0,6
Honda,100000,120000,Petrol,Individual,Manual,Second Owner,13.0,1493.0,100.0,5.0,128.38,4600.0,17
Toyota,300000,60000,Diesel,Individual,Manual,First Owner,21.43,1364.0,87.2,5.0,205.0,1800.0,12
Toyota,1750000,30000,Diesel,Individual,Manual,Second Owner,13.0,2982.0,168.5,7.0,343.0,1400.0,8
Mahindra,450000,15000,Petrol,Individual,Manual,Second Owner,18.15,1198.0,82.0,6.0,115.0,3500.0,6
Tata,490000,90000,Diesel,Individual,Manual,First Owner,22.95,1248.0,74.0,5.0,190.0,1750.0,5
Honda,345000,47000,Petrol,Individual,Manual,Second Owner,17.0,1497.0,118.0,5.0,146.0,4800.0,13
Maruti,85000,90000,Petrol,Individual,Manual,First Owner,17.3,993.0,60.0,5.0,78.0,4500.0,17
Maruti,215000,120600,Petrol,Individual,Manual,Second Owner,18.9,998.0,67.1,5.0,90.0,3500.0,12
Hyundai,320000,100000,Petrol,Individual,Manual,Third Owner,16.2,1599.0,103.2,5.0,146.02,3000.0,12
Maruti,459999,60000,Petrol,Individual,Manual,Second Owner,20.85,1197.0,83.14,5.0,115.0,4000.0,6
Hyundai,65000,86000,Petrol,Individual,Manual,First Owner,15.3,1341.0,83.0,5.0,115.0,3200.0,17
Hyundai,720000,5000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.86,5.0,117.0,4000.0,2
Maruti,800000,37000,Diesel,Individual,Manual,First Owner,28.09,1248.0,88.5,5.0,200.0,1750.0,5
Tata,520000,14000,Petrol,Individual,Manual,First Owner,20.3,1199.0,84.0,5.0,114.0,3500.0,3
Maruti,580000,70000,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.76,7.0,200.0,1750.0,7
Toyota,235000,120000,Diesel,Individual,Manual,First Owner,,,,,,,10
Honda,600000,50000,Petrol,Individual,Manual,First Owner,17.4,1497.0,117.3,5.0,145.0,4600.0,7
Honda,290000,60000,Petrol,Individual,Manual,Second Owner,19.4,1198.0,86.8,5.0,109.0,4500.0,8
Maruti,360000,50000,CNG,Individual,Manual,First Owner,26.6,998.0,58.16,5.0,77.0,3500.0,6
Maruti,550000,50000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5.0,115.0,4000.0,5
Hyundai,375000,70000,Petrol,Individual,Manual,First Owner,18.5,1197.0,82.85,5.0,113.7,4000.0,9
Maruti,40000,90000,Petrol,Individual,Manual,Second Owner,,,,,,,19
Maruti,420000,35000,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,5.0,90.0,3500.0,4
Maruti,550000,20000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,5.0,113.0,4200.0,5
Maruti,270000,20000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5.0,69.0,3500.0,4
Maruti,700000,7800,Petrol,Individual,Automatic,First Owner,22.0,1197.0,81.8,5.0,113.0,4200.0,4
Maruti,500000,20000,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5.0,113.0,4200.0,5
Tata,1250000,15000,Diesel,Individual,Manual,First Owner,17.6,2179.0,147.94,7.0,320.0,1500.0,3
Hyundai,320000,31377,Petrol,Individual,Manual,Second Owner,18.5,1197.0,82.85,5.0,113.7,4000.0,9
Maruti,700000,50000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,5.0,190.0,2000.0,4
Maruti,290000,60000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0,90.0,3500.0,7
Toyota,550000,100000,Petrol,Individual,Automatic,First Owner,14.53,1794.0,138.1,5.0,173.0,4000.0,10
Honda,265000,60000,Petrol,Individual,Manual,First Owner,19.4,1198.0,86.8,5.0,109.0,4500.0,10
Maruti,830000,5000,Petrol,Individual,Automatic,First Owner,21.4,1197.0,83.1,5.0,115.0,4000.0,4
Tata,800000,60000,Diesel,Individual,Manual,First Owner,14.1,2179.0,147.94,7.0,320.0,1500.0,5
Maruti,160000,25000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0,62.0,3000.0,11
Renault,335000,30000,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5.0,72.0,4386.0,4
Datsun,329000,80000,Petrol,Individual,Manual,Second Owner,20.63,1198.0,67.0,5.0,104.0,4000.0,5
Maruti,775000,75000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,200.0,1750.0,5
Hyundai,524000,32000,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,5.0,113.75,4000.0,2
Maruti,245000,40000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,69.0,3500.0,7
Hyundai,275000,93000,Petrol,Individual,Manual,Second Owner,17.0,1197.0,80.0,5.0,111.72000000000001,4000.0,10
Tata,520000,60000,Petrol,Individual,Manual,First Owner,17.57,1193.0,88.7,5.0,140.0,1500.0,4
Maruti,130000,120000,Petrol,Individual,Manual,Second Owner,,,,,,,14
Nissan,550000,37000,Petrol,Individual,Manual,First Owner,16.95,1498.0,97.7,5.0,134.0,4000.0,8
Ford,910000,15000,Petrol,Individual,Manual,First Owner,17.0,1497.0,121.36,5.0,150.0,4500.0,4
Nissan,300000,80000,Petrol,Individual,Manual,First Owner,19.49,1198.0,67.04,5.0,104.0,4000.0,7
Maruti,350000,140000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0,90.0,3500.0,6
Mahindra,900000,70000,Diesel,Individual,Manual,First Owner,12.83,2696.0,162.0,7.0,340.0,1800.0,9
Mahindra,300000,120000,Diesel,Individual,Manual,Second Owner,17.21,1493.0,100.0,7.0,240.0,1600.0,9
Maruti,250000,110000,Diesel,Individual,Manual,Second Owner,21.1,1248.0,73.9,5.0,190.0,2000.0,12
Hyundai,1100000,37000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5.0,259.9,1900.0,5
Renault,270000,44000,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5.0,72.0,4386.0,6
Maruti,640000,80000,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.76,7.0,200.0,1750.0,7
Mahindra,650000,125000,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,7.0,330.0,1600.0,7
Maruti,409999,13500,Petrol,Individual,Manual,First Owner,15.37,1196.0,73.0,5.0,101.0,3000.0,5
Hyundai,165000,75000,Petrol,Individual,Manual,First Owner,17.92,1086.0,62.1,5.0,96.1,3000.0,11
Hyundai,80000,120000,Petrol,Individual,Manual,Second Owner,13.2,1495.0,94.0,5.0,122.50000000000001,3500.0,15
Mahindra,535000,120000,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,7.0,330.0,1600.0,10
Toyota,700000,70000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.57,7.0,200.0,1400.0,9
Maruti,550000,70000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,190.0,2000.0,9
